ticket_id,date_submitted,customer_id,suggested_priority,priority_source,suggested_category,suggested_subcategory,category_source,recurrence_flag,linked_tickets,explanation
TKT-001,2024-01-03,CUST-4421,High,original,Model Output,Hallucination,original,no,,TKT-001 [2024-01-03] | CUST-4421 | Priority: High | Category: Model Output / Hallucination | Status: Resolved | No prior history from this customer
TKT-018,2024-01-17,CUST-9921,Low,inferred,Onboarding,Setup,original,no,,TKT-018 [2024-01-17] | CUST-9921 | Priority: Low | Category: Onboarding / Setup | Status: Resolved | No prior history from this customer
TKT-019,2024-01-18,CUST-1155,High,original,Model Output,Inconsistency,original,yes,"TKT-005, TKT-011","TKT-019 [2024-01-18] | CUST-1155 | Priority: High | Category: Model Output / Inconsistency | Status: Open | Recurrence: 2 prior tickets from this customer (linked: TKT-005, TKT-011)"
TKT-020,2024-01-18,CUST-6671,Low,original,Billing,Pricing,original,no,,TKT-020 [2024-01-18] | CUST-6671 | Priority: Low | Category: Billing / Pricing | Status: Resolved | No prior history from this customer
TKT-021,2024-01-21,CUST-2234,High,original,Model Output,Bias,original,yes,TKT-007,TKT-021 [2024-01-21] | CUST-2234 | Priority: High | Category: Model Output / Bias | Status: Open | Recurrence: 1 prior ticket from this customer (linked: TKT-007)
TKT-022,2024-01-21,CUST-4892,Low,inferred,Integration,Data Format,original,no,,TKT-022 [2024-01-21] | CUST-4892 | Priority: Low | Category: Integration / Data Format | Status: Resolved | No prior history from this customer
TKT-023,2024-01-22,CUST-7743,Medium,original,Performance,Latency,original,no,,TKT-023 [2024-01-22] | CUST-7743 | Priority: Medium | Category: Performance / Latency | Status: Resolved | No prior history from this customer
TKT-024,2024-01-22,CUST-3310,High,original,Model Output,Hallucination,original,yes,TKT-009,TKT-024 [2024-01-22] | CUST-3310 | Priority: High | Category: Model Output / Hallucination | Status: Open | Recurrence: 1 prior ticket from this customer (linked: TKT-009)
TKT-025,2024-01-23,CUST-5502,Critical,inferred,Integration,API Timeout,original,no,,TKT-025 [2024-01-23] | CUST-5502 | Priority: Critical | Category: Integration / API Timeout | Status: Resolved | No prior history from this customer
TKT-026,2024-01-24,CUST-8801,High,original,Model Output,Hallucination,original,yes,TKT-014,TKT-026 [2024-01-24] | CUST-8801 | Priority: High | Category: Model Output / Hallucination | Status: Open | Recurrence: 1 prior ticket from this customer (linked: TKT-014)
TKT-027,2024-01-24,CUST-1122,Low,original,Onboarding,Setup,original,no,,TKT-027 [2024-01-24] | CUST-1122 | Priority: Low | Category: Onboarding / Setup | Status: Resolved | No prior history from this customer
TKT-028,2024-01-25,CUST-9921,Medium,original,Model Output,Quality,original,no,,TKT-028 [2024-01-25] | CUST-9921 | Priority: Medium | Category: Model Output / Quality | Status: Resolved | No prior history from this customer
TKT-029,2024-01-28,CUST-4421,High,original,Safety,Content Filter,original,yes,TKT-017,TKT-029 [2024-01-28] | CUST-4421 | Priority: High | Category: Safety / Content Filter | Status: Open | Recurrence: 1 prior ticket from this customer (linked: TKT-017)
TKT-030,2024-01-28,CUST-6671,Critical,inferred,Model Output,Inconsistency,original,no,,TKT-030 [2024-01-28] | CUST-6671 | Priority: Critical | Category: Model Output / Inconsistency | Status: Resolved | No prior history from this customer
TKT-031,2024-01-29,CUST-3344,Medium,original,Performance,Throughput,original,no,,TKT-031 [2024-01-29] | CUST-3344 | Priority: Medium | Category: Performance / Throughput | Status: Resolved | No prior history from this customer
TKT-032,2024-01-29,CUST-2891,High,inferred,Billing,Disputed Charge,original,no,,TKT-032 [2024-01-29] | CUST-2891 | Priority: High | Category: Billing / Disputed Charge | Status: Resolved | No prior history from this customer
TKT-033,2024-01-30,CUST-7743,Low,original,Integration,SDK,inferred,no,,TKT-033 [2024-01-30] | CUST-7743 | Priority: Low | Category: Integration / SDK | Status: Resolved | No prior history from this customer
TKT-034,2024-01-30,CUST-1155,High,original,Model Output,Inconsistency,original,yes,"TKT-005, TKT-011, TKT-019","TKT-034 [2024-01-30] | CUST-1155 | Priority: High | Category: Model Output / Inconsistency | Status: Escalated | Recurrence: 3 prior tickets from this customer (linked: TKT-005, TKT-011, TKT-019)"
TKT-035,2024-01-31,CUST-5502,High,original,Model Output,Hallucination,original,no,,TKT-035 [2024-01-31] | CUST-5502 | Priority: High | Category: Model Output / Hallucination | Status: Open | No prior history from this customer
TKT-036,2024-02-01,CUST-4892,Medium,inferred,Integration,Webhook,original,no,,TKT-036 [2024-02-01] | CUST-4892 | Priority: Medium | Category: Integration / Webhook | Status: Resolved | No prior history from this customer
TKT-037,2024-02-01,CUST-2234,Critical,original,Model Output,Bias,original,yes,"TKT-007, TKT-021","TKT-037 [2024-02-01] | CUST-2234 | Priority: Critical | Category: Model Output / Bias | Status: Escalated | Recurrence: 2 prior tickets from this customer (linked: TKT-007, TKT-021)"
TKT-038,2024-02-03,CUST-8801,High,inferred,Performance,Latency,original,no,,TKT-038 [2024-02-03] | CUST-8801 | Priority: High | Category: Performance / Latency | Status: Open | No prior history from this customer
TKT-039,2024-02-04,CUST-3310,High,original,Account,Cancellation,original,yes,"TKT-009, TKT-024","TKT-039 [2024-02-04] | CUST-3310 | Priority: High | Category: Account / Cancellation | Status: Open | Recurrence: 2 prior tickets from this customer (linked: TKT-009, TKT-024)"
TKT-040,2024-02-04,CUST-9921,Low,original,Model Output,Quality,original,no,,TKT-040 [2024-02-04] | CUST-9921 | Priority: Low | Category: Model Output / Quality | Status: Resolved | No prior history from this customer
TKT-041,2024-02-05,CUST-1122,High,inferred,Integration,Authentication,original,no,,TKT-041 [2024-02-05] | CUST-1122 | Priority: High | Category: Integration / Authentication | Status: Resolved | No prior history from this customer
TKT-042,2024-02-05,CUST-6671,Medium,original,Model Output,Hallucination,original,no,,TKT-042 [2024-02-05] | CUST-6671 | Priority: Medium | Category: Model Output / Hallucination | Status: Resolved | No prior history from this customer
TKT-043,2024-02-06,CUST-7743,Medium,inferred,Billing,Overage Charges,original,no,,TKT-043 [2024-02-06] | CUST-7743 | Priority: Medium | Category: Billing / Overage Charges | Status: Resolved | No prior history from this customer
TKT-044,2024-02-07,CUST-4421,High,original,Safety,Content Filter,original,yes,"TKT-017, TKT-029","TKT-044 [2024-02-07] | CUST-4421 | Priority: High | Category: Safety / Content Filter | Status: Open | Recurrence: 2 prior tickets from this customer (linked: TKT-017, TKT-029)"
TKT-045,2024-02-07,CUST-5502,High,original,Model Output,Hallucination,original,yes,TKT-035,TKT-045 [2024-02-07] | CUST-5502 | Priority: High | Category: Model Output / Hallucination | Status: Open | Recurrence: 1 prior ticket from this customer (linked: TKT-035)
TKT-046,2024-02-10,CUST-3344,High,inferred,Model Output,Quality,original,no,,TKT-046 [2024-02-10] | CUST-3344 | Priority: High | Category: Model Output / Quality | Status: Resolved | No prior history from this customer
TKT-047,2024-02-10,CUST-2891,Medium,original,Integration,API Error,original,no,,TKT-047 [2024-02-10] | CUST-2891 | Priority: Medium | Category: Integration / API Error | Status: Resolved | No prior history from this customer
TKT-048,2024-02-11,CUST-1155,Critical,original,Model Output,Inconsistency,original,yes,"TKT-005, TKT-011, TKT-019, TKT-034","TKT-048 [2024-02-11] | CUST-1155 | Priority: Critical | Category: Model Output / Inconsistency | Status: Escalated | Recurrence: 4 prior tickets from this customer (linked: TKT-005, TKT-011, TKT-019, TKT-034)"
TKT-049,2024-02-12,CUST-8801,High,original,Performance,Latency,original,yes,TKT-038,TKT-049 [2024-02-12] | CUST-8801 | Priority: High | Category: Performance / Latency | Status: Open | Recurrence: 1 prior ticket from this customer (linked: TKT-038)
TKT-050,2024-02-12,CUST-9921,Medium,inferred,Onboarding,Training,original,no,,TKT-050 [2024-02-12] | CUST-9921 | Priority: Medium | Category: Onboarding / Training | Status: Resolved | No prior history from this customer
